year,Pjmax_CanESM5,Pjmax_CNRM_ESM2_1,Pjmax_IPSL_CM6A_LR,Pjmax_GFDL_ESM4,Pjmax_MPI_ESM1_2_HR,Pjmax_MIROC6,Pjmax_obs,Pjmax_PERSIAN
1950,17.23,33.12,17.3,33.12,29.1,25.73,,
1951,15.1,42.46,23.44,42.46,32.0,21.34,,
1952,11.85,31.41,20.33,31.41,20.53,13.33,,
1953,27.43,38.62,8.75,38.62,23.85,23.92,,
1954,11.93,25.41,13.33,25.41,22.2,9.81,,
1955,9.72,42.05,28.3,42.05,29.32,18.97,,
1956,16.21,25.11,10.16,25.11,28.44,25.34,,
1957,9.08,32.73,17.83,32.73,20.77,21.4,,
1958,17.93,30.3,22.77,30.3,42.46,38.64,,
1959,17.95,33.34,19.29,33.34,31.1,13.02,,
1960,17.11,26.81,23.06,26.81,18.96,18.04,,
1961,18.63,36.24,13.07,36.24,37.73,33.52,,
1962,14.52,42.49,9.33,42.49,20.28,26.33,,
1963,14.78,41.04,10.35,41.04,36.27,27.49,,
1964,18.71,28.39,12.23,28.39,25.46,65.76,,
1965,24.59,48.82,21.94,48.82,37.81,15.77,,
1966,6.37,32.13,13.43,32.13,19.55,18.85,,
1967,10.7,37.56,9.83,37.56,46.97,21.68,,
1968,28.97,39.53,18.95,39.53,23.28,24.94,,
1969,24.38,42.26,17.6,42.26,51.76,17.17,,
1970,12.24,30.33,18.42,30.33,31.98,9.72,,
1971,21.73,39.85,45.78,39.85,23.95,21.6,,
1972,14.94,20.96,11.34,20.96,28.36,34.26,,
1973,51.25,43.25,25.73,43.25,18.92,15.43,,
1974,17.61,19.28,15.83,19.28,45.05,13.48,66.0,
1975,12.3,36.75,47.02,36.75,41.12,16.63,35.6,
1976,22.61,34.25,23.77,34.25,24.12,30.62,27.8,
1977,25.69,41.47,16.19,41.47,22.47,41.7,56.0,
1978,30.92,36.34,13.07,36.34,60.35,24.76,,
1979,17.2,19.21,61.69,19.21,22.01,28.95,46.0,
1980,8.62,37.37,17.2,37.37,30.83,12.19,96.6,
1981,17.33,44.55,13.4,44.55,37.85,26.96,,
1982,15.66,26.07,18.72,26.07,25.55,16.3,21.1,
1983,29.79,44.15,22.93,44.15,32.34,17.2,,12.72
1984,18.81,44.28,18.28,44.28,50.89,15.22,34.0,12.92
1985,13.55,38.76,24.44,38.76,30.25,23.88,38.4,11.27
1986,19.47,36.05,22.01,36.05,36.7,32.45,35.8,11.38
1987,11.94,24.9,22.63,24.9,20.17,23.14,19.9,15.95
1988,17.6,22.88,7.98,22.88,35.19,14.81,129.0,12.28
1989,21.86,29.23,15.91,29.23,19.86,20.78,38.5,20.11
1990,11.61,40.11,16.38,40.11,32.48,18.39,35.5,56.02
1991,11.49,51.54,33.98,51.54,38.95,12.36,59.5,22.95
1992,13.92,32.18,13.7,32.18,36.08,22.3,69.0,16.28
1993,19.34,38.04,22.82,38.04,34.16,21.31,67.0,15.72
1994,17.76,40.57,23.05,40.57,16.67,18.71,72.3,17.68
1995,10.08,71.84,38.45,71.84,28.79,57.99,45.0,14.59
1996,27.72,21.22,7.88,21.22,38.71,20.31,,19.35
1997,20.84,36.12,22.99,36.12,55.87,26.45,48.7,21.11
1998,18.25,33.02,11.19,33.02,27.68,17.32,43.2,12.93
1999,13.07,27.82,20.77,27.82,70.34,16.45,28.5,17.18
2000,12.24,49.9,20.81,49.9,59.71,24.07,26.7,30.96
2001,20.06,29.97,13.12,29.97,32.12,33.0,82.0,17.82
2002,16.51,27.81,14.91,27.81,36.9,21.26,43.0,25.03
2003,18.07,43.64,27.72,43.64,27.18,13.39,54.1,18.66
2004,28.06,23.99,20.89,23.99,25.54,15.97,,23.78
2005,28.16,39.22,40.92,39.22,33.8,20.01,18.0,14.74
2006,15.04,33.26,19.15,33.26,15.68,24.36,40.2,30.04
2007,45.21,23.22,16.09,23.22,29.94,15.61,30.9,16.44
2008,17.88,36.42,17.79,36.42,32.72,23.32,31.0,53.65
2009,22.04,29.34,14.88,29.34,26.56,39.39,31.1,26.07
2010,25.09,47.19,10.58,47.19,35.72,26.46,69.6,23.0
2011,20.91,32.23,17.31,32.23,26.72,25.05,26.7,27.38
2012,15.94,28.82,10.46,28.82,52.35,28.73,82.0,20.9
2013,16.93,41.27,17.71,41.27,27.74,16.92,64.0,33.9
2014,11.44,38.68,7.9,38.68,23.08,10.67,41.0,27.22
2015,,,,,,,,19.85
2016,,,,,,,,29.0
2017,,,,,,,,26.0
2018,,,,,,,,36.45
2019,,,,,,,,21.75
2020,,,,,,,,12.28
2021,,,,,,,,8.71
2022,,,,,,,,14.04
2023,,,,,,,,15.01
