year,max_precip
1983,5.26
1984,14.97
1985,13.87
1986,18.09
1987,19.18
1988,11.98
1989,14.82
1990,35.49
1991,28.85
1992,17.34
1993,28.93
1994,14.58
1995,17.68
1996,23.88
1997,19.04
1998,8.47
1999,25.83
2000,18.23
2001,11.49
2002,14.93
2003,19.01
2004,18.28
2005,13.19
2006,28.6
2007,15.77
2008,40.32
2009,18.55
2010,16.48
2011,17.68
2012,30.28
2013,18.77
2014,34.49
2015,18.95
2016,22.0
2017,24.631779
2018,15.564466
2019,12.094578
2020,11.970824
2021,6.4172745
2022,15.472168
2023,11.118895
